File Name,Bitrate (kbps),Quality Category,Size (MB),Artist,Title,Album
Play & Win - Summertime .flac,1091,Lossless (700-1499 kbps),24.59,Play & Win,Summertime,Unknown
A.S.I.A. - Da-mi noptile 'napoi .flac,1087,Lossless (700-1499 kbps),31.50,A.S.I.A.,Da-mi noptile 'napoi,Unknown
Tom Boxer Feat. Mike Diamondz - Dancin' .flac,1084,Lossless (700-1499 kbps),28.69,Tom Boxer Feat. Mike Diamondz,Dancin',Unknown
[16] Herbas.flac,1084,Lossless (700-1499 kbps),33.10,Codu’ penal,Herbas,În Familie (Pentru Bani)
Rawanne - Missing You .flac,1077,Lossless (700-1499 kbps),26.99,Rawanne,Missing You,Unknown
[07] Singur Pe Strada.flac,1076,Lossless (700-1499 kbps),23.86,Codu’ penal,Singur Pe Strada,În Familie (Pentru Bani)
Tom Boxer & Morena feat. J Warner - Deep In Love .flac,1075,Lossless (700-1499 kbps),26.28,Tom Boxer & Morena feat. J Warner,Deep In Love,Unknown
Alexys - Good Bye My Love .flac,1073,Lossless (700-1499 kbps),28.91,Alexys,Good Bye My Love,Unknown
"Edward Maya, United People - Sunny Days .flac",1073,Lossless (700-1499 kbps),22.39,"Edward Maya, United People",Sunny Days,Unknown
Funky DJ's - Doar Tu Si Eu (Mixt Version 2009) .flac,1073,Lossless (700-1499 kbps),24.58,Funky DJ's,Doar Tu Si Eu (Mixt Version 2009),Unknown
Residence Deejays feat. Frissco - My Way .flac,1071,Lossless (700-1499 kbps),24.39,Residence Deejays feat. Frissco,My Way,Unknown
Dj Sava Feat.Cristina - 2.2 Story .flac,1069,Lossless (700-1499 kbps),26.90,Dj Sava Feat.Cristina,2.2 Story,Unknown
Crush + Alexandra - Hello .flac,1065,Lossless (700-1499 kbps),27.44,Crush + Alexandra,Hello,Unknown
Lucky Man Project - Party Starter .flac,1064,Lossless (700-1499 kbps),23.60,Lucky Man Project,Party Starter,Unknown
Toni Tone feat. Lexi - Forever Alive .flac,1064,Lossless (700-1499 kbps),27.67,Toni Tone feat. Lexi,Forever Alive,Unknown
[15] Suferiti De Smekerie.flac,1063,Lossless (700-1499 kbps),29.55,Codu’ penal,Suferiti De Smekerie,În Familie (Pentru Bani)
[02] Cand Femeia Se Mangaie.flac,1062,Lossless (700-1499 kbps),31.40,Codu’ penal,Cand Femeia Se Mangaie,În Familie (Pentru Bani)
Sasha Lopez feat. Ale Blake - Girls Go La .flac,1060,Lossless (700-1499 kbps),24.14,Sasha Lopez feat. Ale Blake,Girls Go La,Unknown
Akcent - Dragoste De Inchiriat .flac,1059,Lossless (700-1499 kbps),31.07,Akcent,Dragoste De Inchiriat,Unknown
[20] Mod De Viata (Radio Edit).flac,1059,Lossless (700-1499 kbps),31.44,Codu’ penal,Mod De Viata (Radio Edit),În Familie (Pentru Bani)
Andre - Noapte de vis .flac,1058,Lossless (700-1499 kbps),27.77,Andre,Noapte de vis,Unknown
Emil Lassaria & F.Charm - Guantanamera .flac,1056,Lossless (700-1499 kbps),28.33,Emil Lassaria & F.Charm,Guantanamera,Unknown
Bob Sinclar & Sahara Feat.Shaggy - I Wanna .flac,1055,Lossless (700-1499 kbps),25.15,Bob Sinclar & Sahara Feat.Shaggy,I Wanna,Unknown
Sunrise Inc - Mysterious Girl .flac,1054,Lossless (700-1499 kbps),27.53,Sunrise Inc,Mysterious Girl,Unknown
Voltaj Feat.Deepside Deejay - I Wanna Be Free .flac,1054,Lossless (700-1499 kbps),27.54,Voltaj Feat.Deepside Deejay,I Wanna Be Free,Unknown
Alex Mica - Dalinda .flac,1053,Lossless (700-1499 kbps),25.86,Alex Mica,Dalinda,Unknown
Spitalul de Urgenta - Traiasca berea .flac,1053,Lossless (700-1499 kbps),22.86,Spitalul de Urgenta,Traiasca berea,Unknown
Connect-R - Murder .flac,1052,Lossless (700-1499 kbps),24.46,Connect-R,Murder,Unknown
Tom Boxer Feat.Antonia - Morena .flac,1052,Lossless (700-1499 kbps),27.09,Tom Boxer Feat.Antonia,Morena,Unknown
DJ Project - Hotel .flac,1049,Lossless (700-1499 kbps),28.39,DJ Project,Hotel,Unknown
Hi-Q - Razna .flac,1049,Lossless (700-1499 kbps),29.53,Hi-Q,Razna,Unknown
0350 - Deepah Ones - Freak (Deepah Dub).flac,1047,Lossless (700-1499 kbps),53.69,Deepah Ones,Freak (Deepah Dub),Freak
Puya - Undeva-N Balkani (Somewhere In The Balkans) .flac,1047,Lossless (700-1499 kbps),31.33,Puya,Undeva-N Balkani (Somewhere In The Balkans),Unknown
[11] Asa Cum Vrem.flac,1047,Lossless (700-1499 kbps),31.60,Codu’ penal,Asa Cum Vrem,În Familie (Pentru Bani)
Andra vs Tiger 1 - Vreau sarutarea ta .flac,1046,Lossless (700-1499 kbps),28.69,Andra vs Tiger 1,Vreau sarutarea ta,Unknown
Radio Killer - Calling You .flac,1046,Lossless (700-1499 kbps),25.34,Radio Killer,Calling You,Unknown
Dj Sava Feat.Misha - Give It To Me .flac,1045,Lossless (700-1499 kbps),27.68,Dj Sava Feat.Misha,Give It To Me,Unknown
Adrian Sina - Hold On .flac,1043,Lossless (700-1499 kbps),29.47,Adrian SIna,Hold On,Unknown
Connect-R - Ring The Alarm .flac,1042,Lossless (700-1499 kbps),24.73,Connect-R,Ring The Alarm,Unknown
Lucky Man Project - Pumpin` .flac,1041,Lossless (700-1499 kbps),27.95,Lucky Man Project,Pumpin`,Unknown
Alb Negru Feat.Andra - Fierbinte .flac,1040,Lossless (700-1499 kbps),22.70,Alb Negru Feat.Andra,Fierbinte,Unknown
Alex Velea - One Shot .flac,1040,Lossless (700-1499 kbps),27.78,Alex Velea,One Shot,Unknown
Dj Sava Feat Raluka - I Like The Trumpet .flac,1039,Lossless (700-1499 kbps),25.78,Dj Sava Feat Raluka,I Like The Trumpet,Unknown
Luminita Anghel & Sistem - Let Me Try .flac,1039,Lossless (700-1499 kbps),22.54,Luminita Anghel & Sistem,Let Me Try,Unknown
Alexunder Base & Lys - Call Again .flac,1038,Lossless (700-1499 kbps),23.15,Alexunder Base & Lys,Call Again,Unknown
Keno Project - I'm So In Love .flac,1038,Lossless (700-1499 kbps),29.46,Keno Project,I'm So In Love,Unknown
Mandinga - Zaleilah .flac,1037,Lossless (700-1499 kbps),27.21,Mandinga,Zaleilah,Unknown
Body & Soul - Taraful feat. Daddy Fizz .flac,1036,Lossless (700-1499 kbps),23.84,Body & Soul,Taraful feat. Daddy Fizz,Unknown
Parlament - E frumoasa foc .flac,1035,Lossless (700-1499 kbps),20.86,Parlament,E frumoasa foc,Unknown
Voltaj - 20 .flac,1035,Lossless (700-1499 kbps),25.30,Voltaj,20,Unknown
Nicola - Honey .flac,1034,Lossless (700-1499 kbps),30.82,Nicola,Honey,Unknown
Otilia - Prisionera .flac,1033,Lossless (700-1499 kbps),21.81,Otilia,Prisionera,Unknown
Sasha Lopez feat. Radio Killer - Perfect Day .flac,1033,Lossless (700-1499 kbps),24.89,Sasha Lopez feat. Radio Killer,Perfect Day,Unknown
Kenno Project feat. Daniel Del Santos - I'm So In Love .flac,1032,Lossless (700-1499 kbps),29.29,Kenno Project feat. Daniel Del Santos,I'm So In Love,Unknown
A.S.I.A. - Sună periculos .flac,1031,Lossless (700-1499 kbps),26.44,A.S.I.A.,Sună periculos,Unknown
Raluka - Surrendered My Love .flac,1030,Lossless (700-1499 kbps),24.82,Raluka,Surrendered My Love,Unknown
Corina - Munky Funky .flac,1029,Lossless (700-1499 kbps),25.04,Corina,Munky Funky,Unknown
"Todomondo - Liubi, Liubi, I Love You .flac",1029,Lossless (700-1499 kbps),22.21,Todomondo,"Liubi, Liubi, I Love You",Unknown
Andreea Balan Feat. Sonny Flame - Iubi .flac,1028,Lossless (700-1499 kbps),24.88,Andreea Balan Feat. Sonny Flame,Iubi,Unknown
Roller Sis Feat. Adrian Sana - You're A Place In My Heart .flac,1028,Lossless (700-1499 kbps),27.10,Roller Sis Feat. Adrian Sana,You're A Place In My Heart,Unknown
DeepSystem - Hey My Love .flac,1027,Lossless (700-1499 kbps),24.01,DeepSystem,Hey My Love,Unknown
Fly Project - Raisa .flac,1027,Lossless (700-1499 kbps),24.75,Fly Project,Raisa,Unknown
Genius - Macho Man .flac,1027,Lossless (700-1499 kbps),25.47,Genius,Macho Man,Unknown
Radio Killer - You And Me .flac,1027,Lossless (700-1499 kbps),27.07,Radio Killer,You And Me,Unknown
Nick Kamarera & Mike Diamondz - Kalya .flac,1026,Lossless (700-1499 kbps),25.34,Nick Kamarera & Mike Diamondz,Kalya,Unknown
Papa & Monik - Ai Sa-ntelegi .flac,1026,Lossless (700-1499 kbps),25.08,Papa & Monik,Ai Sa-ntelegi,Unknown
Impact - Babe .flac,1025,Lossless (700-1499 kbps),27.63,Impact,Babe,Unknown
Dolly - Tarzan .flac,1021,Lossless (700-1499 kbps),24.84,Dolly,Tarzan,Unknown
106 - Letter 2 My Unborn.flac,1021,Lossless (700-1499 kbps),28.62,2Pac,Letter 2 My Unborn,Until the End of Time
AlexUnderBase & Lys - Drums .flac,1020,Lossless (700-1499 kbps),22.14,AlexUnderBase & Lys,Drums,Unknown
Matteo feat. Lee More - Champion .flac,1020,Lossless (700-1499 kbps),22.62,Matteo feat. Lee More,Champion,Unknown
Aisa - Sweet Embrace .flac,1019,Lossless (700-1499 kbps),28.56,Aisa,Sweet Embrace,Unknown
Inna - Sun Is Up .flac,1017,Lossless (700-1499 kbps),24.73,Inna,Sun Is Up,Unknown
Morris - Till The Morning Light (DJ Dark Remix) .flac,1017,Lossless (700-1499 kbps),25.58,Morris,Till The Morning Light (DJ Dark Remix),Unknown
Maria Andria - Lo Siento .flac,1016,Lossless (700-1499 kbps),26.79,Maria Andria,Lo Siento,Unknown
SeeYa - Criminal .flac,1016,Lossless (700-1499 kbps),22.05,SeeYa,Criminal,Unknown
[13] Anu' 2003.flac,1016,Lossless (700-1499 kbps),20.48,Codu’ penal,Anu' 2003,În Familie (Pentru Bani)
Sasha Lopez ft. Evan - Sick Love .flac,1015,Lossless (700-1499 kbps),26.88,Sasha Lopez ft. Evan,Sick Love,Unknown
Ela Rose - I Can Feel .flac,1014,Lossless (700-1499 kbps),24.78,Ela Rose,I Can Feel,Unknown
Elena Gheorghe - The Balkan Girls .flac,1014,Lossless (700-1499 kbps),21.76,Elena Gheorghe,The Balkan Girls,Unknown
Sunrise Inc. - Forever In My Soul .flac,1014,Lossless (700-1499 kbps),29.04,Sunrise Inc.,Forever In My Soul,Unknown
Activ - Motive .flac,1012,Lossless (700-1499 kbps),24.62,Activ,Motive,Unknown
Genius - Vara .flac,1011,Lossless (700-1499 kbps),23.64,Genius,Vara,Unknown
Jai Alexander & Sarah - The Legend .flac,1011,Lossless (700-1499 kbps),29.29,Jai Alexander & Sarah,The Legend,Unknown
Valahia - Banana .flac,1010,Lossless (700-1499 kbps),26.86,Valahia,Banana,Unknown
112 - Everything They Owe.flac,1010,Lossless (700-1499 kbps),22.52,2Pac,Everything They Owe,Until the End of Time
Kaan & Radio Killer Feat. Kenan Dogulu - Living It Up .flac,1009,Lossless (700-1499 kbps),28.65,Kaan & Radio Killer Feat. Kenan Dogulu,Living It Up,Unknown
115 - World Wide Mob Figgaz.flac,1008,Lossless (700-1499 kbps),33.43,2Pac featuring OUTLAWZ,World Wide Mob Figgaz,Until the End of Time
Andrè - Liberă La Mare .flac,1007,Lossless (700-1499 kbps),24.98,Andrè,Liberă La Mare,Unknown
Lucian Base Feat.Eilah - I've Got No Reason .flac,1007,Lossless (700-1499 kbps),24.15,Lucian Base Feat.Eilah,I've Got No Reason,Unknown
Lorina - Away From Home .flac,1005,Lossless (700-1499 kbps),26.26,Lorina,Away From Home,Unknown
A.S.I.A - O Iubire De O Vara .flac,1004,Lossless (700-1499 kbps),26.59,A.S.I.A,O Iubire De O Vara,Unknown
Pavel Stratan - Eu Beu .flac,1001,Lossless (700-1499 kbps),27.09,Pavel Stratan,Eu Beu,Unknown
0348 - Deepah Ones - Freak.flac,1000,Lossless (700-1499 kbps),45.69,Deepah Ones,Freak,Freak
Vibearena feat. Irina Sarbu - Paraiso (Loca Loca) .flac,1000,Lossless (700-1499 kbps),23.62,Vibearena feat. Irina Sarbu,Paraiso (Loca Loca),Unknown
Liviu Hodor feat. Mona - Sweet Love .flac,999,Lossless (700-1499 kbps),25.75,Liviu Hodor feat. Mona,Sweet Love,Unknown
Elena Gheorghe - Disco Romancing .flac,996,Lossless (700-1499 kbps),21.51,Elena Gheorghe,Disco Romancing,Unknown
Rawanne Feat. Toni Tonini - Millionaire .flac,996,Lossless (700-1499 kbps),24.12,Rawanne Feat. Toni Tonini,Millionaire,Unknown
[14] Mod De Viata.flac,996,Lossless (700-1499 kbps),29.46,Codu’ penal,Mod De Viata,În Familie (Pentru Bani)
Antonia - Marabou .flac,995,Lossless (700-1499 kbps),25.99,Antonia,Marabou,Unknown
Taxi - Mi-e dor si doare .flac,995,Lossless (700-1499 kbps),32.03,Taxi,Mi-e dor si doare,Unknown
Deepside Deejays ft. Alex & Grasu XXL - Around the World .flac,994,Lossless (700-1499 kbps),20.38,Deepside Deejays ft. Alex & Grasu XXL,Around the World,Unknown
Dj Rynno & Sylvia - Stereo .flac,994,Lossless (700-1499 kbps),25.73,Dj Rynno & Sylvia,Stereo,Unknown
Radio Killer - Be Free .flac,994,Lossless (700-1499 kbps),23.00,Radio Killer,Be Free,Unknown
[19] Outro.flac,994,Lossless (700-1499 kbps),15.77,Codu’ penal,Outro,În Familie (Pentru Bani)
Brianna - Lost In Istanbul .flac,993,Lossless (700-1499 kbps),21.92,Brianna,Lost In Istanbul,Unknown
Simplu - Oare Sti .flac,993,Lossless (700-1499 kbps),31.38,Simplu,Oare Sti,Unknown
0349 - Deepah Ones - Freak (Freak Beats).flac,992,Lossless (700-1499 kbps),23.67,Deepah Ones,Freak (Freak Beats),Freak
DJ Rynno Feat. Sylvia - Feel In Love .flac,990,Lossless (700-1499 kbps),23.73,DJ Rynno Feat. Sylvia,Feel In Love,Unknown
Effekt - Nu Te Pot Uita .flac,990,Lossless (700-1499 kbps),28.81,Effekt,Nu Te Pot Uita,Unknown
Geo Da Silva - I'll Do You Like A Truck .flac,990,Lossless (700-1499 kbps),23.51,Geo Da Silva,I'll Do You Like A Truck,Unknown
103 - Lil’ Homies.flac,988,Lossless (700-1499 kbps),26.40,2Pac,Lil’ Homies,Until the End of Time
Dave Andres - Funkada.flac,987,Lossless (700-1499 kbps),47.45,Dave Andres,Funkada,https://heydj.pro/#/signup
Blondy - Ai Gresit .flac,987,Lossless (700-1499 kbps),30.60,Blondy,Ai Gresit,Unknown
Xonia feat. J. Balvin - I Want Cha .flac,987,Lossless (700-1499 kbps),23.89,Xonia feat. J. Balvin,I Want Cha,Unknown
Fly Project - Mandala .flac,986,Lossless (700-1499 kbps),25.51,Fly Project,Mandala,Unknown
David Deejay Feat.Dony - Sexy Thing .flac,985,Lossless (700-1499 kbps),22.55,David Deejay Feat.Dony,Sexy Thing,Unknown
Activ - Lucruri Simple .flac,984,Lossless (700-1499 kbps),23.71,Activ,Lucruri Simple,Unknown
Dax - Say Goodbye! .flac,984,Lossless (700-1499 kbps),26.52,Dax,Say Goodbye!,Unknown
Ella - I Need Your Love .flac,983,Lossless (700-1499 kbps),23.33,Ella,I Need Your Love,Unknown
Connect-R Feat.Chris Mayer - Still .flac,982,Lossless (700-1499 kbps),26.11,Connect-R Feat.Chris Mayer,Still,Unknown
Class - Luna mi-a zambit .flac,981,Lossless (700-1499 kbps),25.17,Class,Luna mi-a zambit,Unknown
Alexandra Stan - Lollipop (Param Pam Pam) .flac,980,Lossless (700-1499 kbps),27.35,Alexandra Stan,Lollipop (Param Pam Pam),Unknown
Evian Kado feat. Thaya - World On Fire .flac,980,Lossless (700-1499 kbps),23.85,Evian Kado feat. Thaya,World On Fire,Unknown
Ruby - Stinge Lumina .flac,979,Lossless (700-1499 kbps),26.04,Ruby,Stinge Lumina,Unknown
Jimmy Dub - Bara Bara .flac,978,Lossless (700-1499 kbps),24.14,Jimmy Dub,Bara Bara,Unknown
Morris Feat. Sonny Flame - Havana Lover .flac,978,Lossless (700-1499 kbps),24.15,Morris Feat. Sonny Flame,Havana Lover,Unknown
Damian & Brothers feat. Smiley - In Statie La Lizeanu .flac,976,Lossless (700-1499 kbps),23.05,Damian & Brothers feat. Smiley,In Statie La Lizeanu,Unknown
114 - M.O.B..flac,976,Lossless (700-1499 kbps),35.05,2Pac featuring Thug Life & OUTLAWZ,M.O.B.,Until the End of Time
Play & Win - Ya BB .flac,974,Lossless (700-1499 kbps),20.44,Play & Win,Ya BB,Unknown
Ami - Ma Omoara .flac,973,Lossless (700-1499 kbps),24.61,Ami,Ma Omoara,Unknown
3 Sud Est - Amintirile .flac,972,Lossless (700-1499 kbps),27.60,3 Sud Est,Amintirile,Unknown
Osaka - Please .flac,971,Lossless (700-1499 kbps),24.90,Osaka,Please,Unknown
[12] Niciodata Nu E Prea Tarziu.flac,971,Lossless (700-1499 kbps),25.84,Codu’ penal,Niciodata Nu E Prea Tarziu,În Familie (Pentru Bani)
Fly Project - Toca Toca .flac,970,Lossless (700-1499 kbps),19.33,Fly Project,Toca Toca,Unknown
Ryan & Radu - Rush Love (Spanish Radio Edit) .flac,970,Lossless (700-1499 kbps),24.06,Ryan & Radu,Rush Love (Spanish Radio Edit),Unknown
0351 - Deepah Ones - Freak (Dubstrumental).flac,969,Lossless (700-1499 kbps),43.91,Deepah Ones,Freak (Dubstrumental),Freak
Morandi - Angels .flac,969,Lossless (700-1499 kbps),26.00,Morandi,Angels,Unknown
Fly Project - Goddbye .flac,967,Lossless (700-1499 kbps),22.02,Fly Project,Goddbye,Unknown
Sasha Lopez - All My People .flac,967,Lossless (700-1499 kbps),26.77,Sasha Lopez,All My People,Unknown
[18] Ce Faci Tu.._.flac,967,Lossless (700-1499 kbps),24.35,Codu’ penal,Ce Faci Tu...,În Familie (Pentru Bani)
110 - Fuckin’ Wit’ the Wrong Nigga.flac,967,Lossless (700-1499 kbps),25.03,2Pac,Fuckin’ Wit’ the Wrong Nigga,Until the End of Time
Celia Feat Mohombi - Love 2 Party .flac,965,Lossless (700-1499 kbps),24.62,Celia Feat Mohombi,Love 2 Party,Unknown
DOC & Motzu & Smiley - Pierdut Buletin .flac,965,Lossless (700-1499 kbps),24.05,DOC & Motzu & Smiley,Pierdut Buletin,Unknown
INNA Feat. Vinka - Bebe .flac,965,Lossless (700-1499 kbps),19.90,INNA Feat. Vinka,Bebe,Unknown
Activ - Doar Cu Tine .flac,963,Lossless (700-1499 kbps),23.55,Activ,Doar Cu Tine,Unknown
Akcent - Run Away .flac,962,Lossless (700-1499 kbps),25.02,Akcent,Run Away,Unknown
Inna - Hot .flac,960,Lossless (700-1499 kbps),25.19,Inna,Hot,Unknown
Naguale - Get Up .flac,960,Lossless (700-1499 kbps),23.35,Naguale,Get Up,Unknown
What's UP - Taxi .flac,959,Lossless (700-1499 kbps),27.81,What's UP,Taxi,Unknown
Akcent - I Turn Around the World .flac,958,Lossless (700-1499 kbps),29.25,Akcent,I Turn Around the World,Unknown
Otilia - Bilionera .flac,958,Lossless (700-1499 kbps),21.13,Otilia,Bilionera,Unknown
DJ Sava Feat. Gic & Connect-R - Sunshine .flac,957,Lossless (700-1499 kbps),21.91,DJ Sava Feat. Gic & Connect-R,Sunshine,Unknown
Lariss - Dale Papi .flac,957,Lossless (700-1499 kbps),19.64,Lariss,Dale Papi,Unknown
LuKone & deMoga feat. Liviu Teodorescu - Electronic Symphony .flac,957,Lossless (700-1499 kbps),28.07,LuKone & deMoga feat. Liviu Teodorescu,Electronic Symphony,Unknown
[09] Spune-mi Daca Faci.._.flac,957,Lossless (700-1499 kbps),28.77,Codu’ penal,Spune-mi Daca Faci...,În Familie (Pentru Bani)
Akcent - Stay With Me .flac,955,Lossless (700-1499 kbps),28.37,Akcent,Stay With Me,Unknown
111 - Thug N U Thug N Me (remix).flac,955,Lossless (700-1499 kbps),28.59,2Pac featuring K‐Ci & JoJo,Thug N U Thug N Me (remix),Until the End of Time
Minelli - Mariola .flac,953,Lossless (700-1499 kbps),20.68,Minelli,Mariola,Unknown
AMI - Trumpet Lights .flac,951,Lossless (700-1499 kbps),19.39,AMI,Trumpet Lights,Unknown
Morandi - Love Me .flac,950,Lossless (700-1499 kbps),23.46,Morandi,Love Me,Unknown
Ca$$a Loco - Vand fan .flac,949,Lossless (700-1499 kbps),18.68,Ca$$a Loco,Vand fan,Unknown
Indiggo - Nu-mi Pasa .flac,946,Lossless (700-1499 kbps),23.14,Indiggo,Nu-mi Pasa,Unknown
105 - Good Life.flac,945,Lossless (700-1499 kbps),28.86,2Pac featuring Big Syke & E.D.I of the OUTLAWZ,Good Life,Until the End of Time
Pedro Cazanova & Andrea - Selfish Love (Gregor Salto Rmx) .flac,944,Lossless (700-1499 kbps),25.00,Pedro Cazanova & Andrea,Selfish Love (Gregor Salto Rmx),Unknown
Mihail - Ma Ucide Ea .flac,941,Lossless (700-1499 kbps),27.62,Mihail,Ma Ucide Ea,Unknown
3 Sud Est - De DorulTau .flac,939,Lossless (700-1499 kbps),24.54,3 Sud Est,De DorulTau,Unknown
108 - Happy Home.flac,939,Lossless (700-1499 kbps),26.42,2Pac,Happy Home,Until the End of Time
O-Zone - Dragostea Din Tei .flac,938,Lossless (700-1499 kbps),24.04,O-Zone,Dragostea Din Tei,Unknown
101 - Ballad of a Dead Soulja.flac,938,Lossless (700-1499 kbps),28.54,2Pac,Ballad of a Dead Soulja,Until the End of Time
Edward Maya feat. Vika Jigulina - Stereo Love.flac,936,Lossless (700-1499 kbps),27.79,Edward Maya feat. Vika Jigulina,Stereo Love,Unknown
107 - Breathin’.flac,935,Lossless (700-1499 kbps),27.22,2Pac featuring OUTLAWZ,Breathin’,Until the End of Time
Lidia Buble - Camasa .flac,934,Lossless (700-1499 kbps),25.41,Lidia Buble,Camasa,Unknown
Refflex - O Aventura .flac,934,Lossless (700-1499 kbps),24.07,Refflex,O Aventura,Unknown
203 - Niggaz Nature (remix).flac,934,Lossless (700-1499 kbps),33.87,2Pac featuring Lil’ Mo,Niggaz Nature (remix),Until the End of Time
[04] Pentru Bani.flac,933,Lossless (700-1499 kbps),31.38,Codu’ penal,Pentru Bani,În Familie (Pentru Bani)
Liviu Hodor & Tara - Hapy For You .flac,932,Lossless (700-1499 kbps),25.79,Liviu Hodor & Tara,Hapy For You,Unknown
113 - Until the End of Time.flac,932,Lossless (700-1499 kbps),29.56,2Pac featuring R.L.,Until the End of Time,Until the End of Time
[10] Mai Bine Sau Mai Rau.flac,930,Lossless (700-1499 kbps),28.18,Codu’ penal,Mai Bine Sau Mai Rau,În Familie (Pentru Bani)
204 - When Thugz Cry.flac,928,Lossless (700-1499 kbps),29.00,2Pac,When Thugz Cry,Until the End of Time
B.U.G. Mafia - Cine e cu noi .flac,927,Lossless (700-1499 kbps),28.64,B.U.G. Mafia,Cine e cu noi,Unknown
Tara - Calling For Love .flac,927,Lossless (700-1499 kbps),19.23,Tara,Calling For Love,Unknown
Carla's Dreams - Pana La Sange .flac,923,Lossless (700-1499 kbps),26.32,Carla's Dreams,Pana La Sange,Unknown
202 - My Closest Roaddogz.flac,923,Lossless (700-1499 kbps),26.87,2Pac,My Closest Roaddogz,Until the End of Time
Inna - Fool Me .flac,920,Lossless (700-1499 kbps),21.41,Inna,Fool Me,Unknown
Sunrise Inc & Liviu Hodor - Still The Same .flac,920,Lossless (700-1499 kbps),21.74,Sunrise Inc & Liviu Hodor,Still The Same,Unknown
[08] Mi-e Somn (Interludiu).flac,920,Lossless (700-1499 kbps),9.10,Codu’ penal,Mi-e Somn (Interludiu),În Familie (Pentru Bani)
[30] Exprimare liberă (édition française).flac,920,Lossless (700-1499 kbps),20.20,Paraziții,Exprimare liberă (édition française),Primii 10 ani
Papa Junior - Ploaia .flac,919,Lossless (700-1499 kbps),22.04,Papa Junior,Ploaia,Unknown
